=== UNIT 1 - GREETINGS AND INTRODUCTION ===

<1> Greetings (인사 | Chào hỏi)
<2> School Life (학교 생활 | Cuộc sống học đường)
천 | nghìn | thousand
백 | trăm | hundred
생활 | cuộc sống | life / living
번 | số | number
타다 | đi (xe) | to ride
여러분 | mọi người | everyone
쪽 | trang | page
쉬다 | nghỉ ngơi | to rest / take a break
호 | số phòng | room number
옷 | quần áo | clothes

=== UNIT 7 - FOOD ===

<1> Food (음식 | Thức ăn)
냉면 | mì lạnh | naengmyeon (cold noodle)
김치찌개 | canh kim chi | kimchi-jjigae
삼계탕 | gà hầm sâm | samgyetang (ginseng chicken soup)
닭갈비 | sườn gà xào | dakgalbi
요리 | món ăn | dish
만들다 | làm / nấu | to make
오늘 | hôm nay | today
한식 | đồ ăn Hàn Quốc | Korean food
비빔밥 | cơm trộn | bibimbap
불고기 | thịt nướng | bulgogi
머리 | tóc / đầu | hair
길다 | dài | to be long
아이 | trẻ em | child
집 | nhà | house / home
멀다 | xa | to be far
일식 | đồ ăn Nhật Bản | Japanese food
과일 | trái cây | fruit
사과 | táo | apple
힙합 | hip-hop | hip-hop
영화 | phim | movie
중국 음식 | đồ ăn Trung Quốc | Chinese food
자장면 | mì đen | jajangmyeon
맛있다 | ngon | to be delicious
탕수육 | thịt sốt chua ngọt | tangsuyuk
맛없다 | không ngon | to be not delicious
우유 | sữa | milk
차¹ | trà | tea
유자차 | trà thanh yên | citron tea
맛 | vị | taste
시다 | chua | to be sour
달다 | ngọt | to be sweet

<2> Ordering Food (음식 주문 | Gọi món)
주문 | gọi món | order
잔 | cốc | cup
라면 | mì ramen | ramen
개 | cái (từ đếm) | counting word for objects
김밥 | kimbap | kimbap
줄 | hàng | row
콜라 | coca cola | cola
병 | chai | bottle
그릇 | bát / tô | bowl
층 | tầng | floor
거기 | ở đó | there
값 | giá tiền | price
비싸다 | đắt | to be expensive
피자 | pizza | pizza
판 | chảo | pan
심심하다 | buồn chán | to be bored
한식집 | nhà hàng Hàn Quốc | Korean restaurant
갈비탕 | canh sườn | galbitang (short rib soup)
갈비 | sườn | galbi (short rib)
우동 | mì udon | udon

=== UNIT 8 - DAILY LIFE ===

<1> October (시월 | Tháng Mười)
삼월 | tháng Ba | March
유월 | tháng Sáu | June
팔월 | tháng Tám | August
금요일 | thứ Sáu | Friday
생일 | sinh nhật | birthday
시월 | tháng Mười | October
월 | tháng | month
일¹ | ngày | day
월요일 | thứ Hai | Monday
개천절 | ngày Quốc khánh | the National Foundation Day
이날 | ngày này | this day
한글날 | ngày chữ Hangul | Hangul Proclamation Day
시험 | bài kiểm tra | test
반² | lớp | class
부산 | Busan | Busan
생선회 | sashimi | sashimi
서울 | Seoul | Seoul
빨리 | nhanh | quickly
화요일 | thứ Ba | Tuesday
수요일 | thứ Tư | Wednesday
목요일 | thứ Năm | Thursday
며칠 | ngày mấy | what date
요일 | ngày trong tuần | days of a week
일² | công việc | work
잡채 | miến xào | japchae
토요일 | thứ Bảy | Saturday

<2> Daily Life (일상 생활 | Cuộc sống hàng ngày)
하루 | một ngày | one day
자다 | ngủ | to sleep
이를 닦다 | đánh răng | to brush one's teeth
세수하다 | rửa mặt | to wash one's face
일어나다 | thức dậy | to wake up
샤워하다 | tắm | to take a shower
아침 | buổi sáng / bữa sáng | morning / breakfast
회의 | cuộc họp | meeting
손님 | khách hàng | customer
끝나다 | kết thúc | to finish
창문 | cửa sổ | window
걷다 | đi bộ | to walk
묻다 | hỏi | to ask
보통 | thường thường | usually
대사관 | đại sứ quán | embassy
좀¹ | một chút | some

=== UNIT 9 - WEEKENDS ===

<1> Weekends (주말 | Cuối tuần)
주말 | cuối tuần | weekend
야구 | bóng chày | baseball
태권도 | taekwondo | taekwondo
탁구를 치다 | chơi bóng bàn | to play table tennis
스키를 타다 | trượt tuyết | to ski
축구 | bóng đá | soccer
농구 | bóng rổ | basketball
괜찮다 | ổn | to be okay
테니스를 치다 | chơi tennis | to play tennis
테니스장 | sân tennis | tennis court
싸다 | rẻ | to be cheap
그래서 | vì vậy | therefore
제일 | nhất | most
수영장 | hồ bơi | swimming pool
그곳 | nơi đó | that place
여름 | mùa hè | summer
서핑 | lướt sóng | surfing
겨울 | mùa đông | winter
요즘 | dạo này | these days
인기가 많다 | nổi tiếng | to be popular
스키장 | khu trượt tuyết | ski resort
야구장 | sân bóng chày | baseball stadium
맥주 | bia | beer
구경하다 | tham quan | to look around

<2> Weekends Plans (주말 계획 | Kế hoạch cuối tuần)
계획 | kế hoạch | plan
여행하다 | du lịch | to travel
쇼핑하다 | đi mua sắm | to go shopping
빨래하다 | giặt đồ | to do laundry
데이트하다 | hẹn hò | to go out with someone
다시 | lại / lần nữa | again
홍대 | Hongdae | Hongdae
남산한옥마을 | làng Hanok Namsan | Namsan Hanok Village
다음 | lần sau | next time
인천 | Incheon | Incheon
춘천 | Chuncheon | Chuncheon

=== UNIT 10 - PAST EXPERIENCE ===

<1> Diary (일기 | Nhật ký)
지난 | trước đây | last
일기 | nhật ký | diary
모레 | ngày kia | the day after tomorrow
지난달 | tháng trước | last month
늦게 | muộn | late
시내 | trung tâm thành phố | downtown
명동 | Myeongdong | Myeongdong
가깝다 | gần | to be close
엔(N)서울타워 | tháp N Seoul | N Seoul Tower
돈가스 | cơm sườn | donkatsu (pork cutlet)
인사동 | Insadong | Insadong
피곤하다 | mệt mỏi | to be tired
사진을 찍다 | chụp ảnh | to take a photo
바지 | quần | pants

<2> Letao's Day (리타오 씨의 하루 | Một ngày của Letao)
영화표 | vé xem phim | movie ticket
기차표 | vé tàu | train ticket
호텔 | khách sạn | hotel
예매하다 | đặt vé | to book (ticket)
예약하다 | đặt chỗ | to make a reservation
빌리다 | mượn / thuê | to borrow / rent
와 | tại sao | why
여행 | du lịch | travel
잘못 | sai | wrong
오래 | lâu | long time
정말 | thật sự | really
힘들다 | khó khăn / vất vả | to be hard
너무 | quá | too much
